CELL	V1	V2	V3
m110s9r2e0u1	-0.19295	0.38646	1.2634
m123s11r1e0u1	0.28556	1.1309	1.4695
m124s11r1e0u1	-0.22588	0.52092	1.7156
m127s12r1e0u1	-0.11641	-0.053713	0.14456
m128s12r1e0u1	-0.063257	0.5111	0.77784
m132s9r1e0u1	0.45572	0.74378	1.454
m133s8r1e0u1	0.18596	1.0903	1.9911
m134s16r1e0u1	-0.35528	0.55357	0.89154
